"titulo";;;"letra";;;"artista"
"1";;;"A Banda";;;"Estava à toa na vida
O meu amor me chamou
Pra ver a banda passar
Cantando coisas de amor

A minha gente sofrida
Despediu-se da dor
Pra ver a banda passar
Cantando coisas de amor

O homem sério que contava dinheiro parou
O faroleiro que contava vantagem parou
A namorada que contava as estrelas
Parou para ver, ouvir e dar passagem

A moça triste que vivia calada sorriu
A rosa triste que vivia fechada se abriu
E a meninada toda se assanhou
Pra ver a banda passar
Cantando coisas de amor

Estava à toa na vida
O meu amor me chamou
Pra ver a banda passar
Cantando coisas de amor

A minha gente sofrida
Despediu-se da dor
Pra ver a banda passar
Cantando coisas de amor

O velho fraco se esqueceu do cansaço e pensou
Que ainda era moço pra sair no terraço e dançou
A moça feia debruçou na janela
Pensando que a banda tocava pra ela

A marcha alegre se espalhou na avenida e insistiu
A Lua cheia que vivia escondida surgiu
Minha cidade toda se enfeitou
Pra ver a banda passar cantando coisas de amor

Mas para meu desencanto
O que era doce acabou
Tudo tomou seu lugar
Depois que a banda passou

E cada qual no seu canto
Em cada canto uma dor
Depois da banda passar
Cantando coisas de amor
Depois da banda passar
Cantando coisas de amor";;;"chico"
"2";;;"Construção";;;"Amou daquela vez como se fosse a última
Beijou sua mulher como se fosse a última
E cada filho seu como se fosse o único
E atravessou a rua com seu passo tímido

Subiu a construção como se fosse máquina
Ergueu no patamar quatro paredes sólidas
Tijolo com tijolo num desenho mágico
Seus olhos embotados de cimento e lágrima

Sentou pra descansar como se fosse sábado
Comeu feijão com arroz como se fosse um príncipe
Bebeu e soluçou como se fosse um náufrago
Dançou e gargalhou como se ouvisse música
E tropeçou no céu como se fosse um bêbado

E flutuou no ar como se fosse um pássaro
E se acabou no chão feito um pacote flácido
Agonizou no meio do passeio público
Morreu na contramão atrapalhando o tráfego

Amou daquela vez como se fosse o último
Beijou sua mulher como se fosse a única
E cada filho seu como se fosse o pródigo
E atravessou a rua com seu passo bêbado

Subiu a construção como se fosse sólido
Ergueu no patamar quatro paredes mágicas
Tijolo com tijolo num desenho lógico
Seus olhos embotados de cimento e tráfego

Sentou pra descansar como se fosse um príncipe
Comeu feijão com arroz como se fosse o máximo
Bebeu e soluçou como se fosse máquina
Dançou e gargalhou como se fosse o próximo
E tropeçou no céu como se ouvisse música

E flutuou no ar como se fosse sábado
E se acabou no chão feito um pacote tímido
Agonizou no meio do passeio náufrago
Morreu na contramão atrapalhando o público

Amou daquela vez como se fosse máquina
Beijou sua mulher como se fosse lógico
Ergueu no patamar quatro paredes flácidas
Sentou pra descansar como se fosse um pássaro
E flutuou no ar como se fosse um príncipe
E se acabou no chão feito um pacote bêbado
Morreu na contramão atrapalhando o sábado

Por esse pão pra comer, por esse chão pra dormir
A certidão pra nascer, a concessão pra sorrir
Por me deixar respirar, por me deixar existir
Deus lhe pague

Pela cachaça de graça que a gente tem que engolir
Pela fumaça desgraça que a gente tem que tossir
Pelos andaimes pingentes que a gente tem que cair
Deus lhe pague

Pela mulher carpideira pra nos louvar e cuspir
E pelas moscas bicheiras a nos beijar e cobrir
E pela paz derradeira que enfim vai nos redimir
Deus lhe pague";;;"chico"
"3";;;"João e Maria (part. Nara Leão)";;;"Agora eu era o herói
E o meu cavalo só falava inglês
A noiva do cowboy
Era você além das outras três

Eu enfrentava os batalhões
Os alemães e seus canhões
Guardava o meu bodoque
E ensaiava o rock
Para as matinês

Agora eu era o rei
Era o bedel e era também juiz
E pela minha lei
A gente era obrigado a ser feliz

E você
Era a princesa que eu fiz coroar
E era tão linda de se admirar
Que andava nua pelo meu país

Não, não fuja, não
Finja que agora eu era o seu brinquedo
Eu era o seu peão
O seu bicho preferido

Vem, me dê a mão
A gente agora já não tinha medo
No tempo da maldade
Acho que a gente nem tinha nascido

Agora era fatal
Que o faz de conta terminasse assim
Pra lá deste quintal
Era uma noite que não tem mais fim

Pois você
Sumiu no mundo sem me avisar
E agora eu era um louco a perguntar
O que é que a vida vai fazer de mim?";;;"chico"
"4";;;"Cálice (part. Milton Nascimento)";;;"Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

Como beber dessa bebida amarga?
Tragar a dor, engolir a labuta?
Mesmo calada a boca, resta o peito
Silêncio na cidade não se escuta
De que me vale ser filho da santa?
Melhor seria ser filho da outra
Outra realidade menos morta
Tanta mentira, tanta força bruta

Pai (Pai), afasta de mim esse cálice
(Pai), afasta de mim esse cálice
(Pai), afasta de mim esse cálice
De vinho tinto de sangue

Como é difícil acordar calado
Se na calada da noite eu me dano
Quero lançar um grito desumano
Que é uma maneira de ser escutado
Esse silêncio todo me atordoa
Atordoado, eu permaneço atento
Na arquibancada, pra a qualquer momento
Ver emergir o monstro da lagoa

Pai (Pai), afasta de mim esse cálice
(Pai), afasta de mim esse cálice
(Pai), afasta de mim esse cálice
De vinho tinto de sangue

De muito gorda, a porca já não anda (cálice)
De muito usada, a faca já não corta
Como é difícil, (Pai) Pai, abrir a porta (cálice)
Essa palavra presa na garganta
Esse pileque homérico no mundo
De que adianta ter boa vontade?
Mesmo calado o peito, resta a cuca
Dos bêbados do centro da cidade

Pai (Pai), afasta de mim esse cálice
(Pai), afasta de mim esse cálice
(Pai), afasta de mim esse cálice
De vinho tinto de sangue

Talvez o mundo não seja pequeno (cálice)
Nem seja a vida um fato consumado (cálice, cálice)
Quero inventar o meu próprio pecado (cálice, cálice)
Quero morrer do meu próprio veneno (Pai) (cálice, cálice)
Quero perder de vez tua cabeça (cálice)
Minha cabeça perder teu juízo (cálice)
Quero cheirar fumaça de óleo diesel (cálice)
Me embriagar até que alguém me esqueça (cálice)";;;"chico"
"5";;;"Apesar de Você";;;"Amanhã vai ser outro dia
Amanhã vai ser outro dia
Amanhã vai ser outro dia

Hoje você é quem manda
Falou, tá falado
Não tem discussão, não
A minha gente hoje anda
Falando de lado
E olhando pro chão, viu

Você que inventou esse estado
E inventou de inventar
Toda a escuridão
Você que inventou o pecado
Esqueceu-se de inventar
O perdão

Apesar de você
Amanhã há de ser
Outro dia
Eu pergunto a você
Onde vai se esconder
Da enorme euforia
Como vai proibir
Quando o galo insistir
Em cantar
Água nova brotando
E a gente se amando
Sem parar

Quando chegar o momento
Esse meu sofrimento
Vou cobrar com juros, juro
Todo esse amor reprimido
Esse grito contido
Este samba no escuro

Você que inventou a tristeza
Ora, tenha a fineza
De desinventar
Você vai pagar e é dobrado
Cada lágrima rolada
Nesse meu penar

Apesar de você
Amanhã há de ser
Outro dia
Inda pago pra ver
O jardim florescer
Qual você não queria
Você vai se amargar
Vendo o dia raiar
Sem lhe pedir licença
E eu vou morrer de rir
Que esse dia há de vir
Antes do que você pensa

Apesar de você
Amanhã há de ser
Outro dia
Você vai ter que ver
A manhã renascer
E esbanjar poesia
Como vai se explicar
Vendo o céu clarear
De repente, impunemente
Como vai abafar
Nosso coro a cantar
Na sua frente

Apesar de você
Amanhã há de ser
Outro dia
Você vai se dar mal
Etecetera e tal
Lá lá lá lá laiá";;;"chico"
"6";;;"Cotidiano";;;"Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã

Todo dia ela diz que é pra eu me cuidar
E essas coisas que diz toda mulher
Diz que está me esperando pro jantar
E me beija com a boca de café

Todo dia eu só penso em poder parar
Meio-dia eu só penso em dizer não
Depois penso na vida pra levar
E me calo com a boca de feijão

Seis da tarde como era de se esperar
Ela pega e me espera no portão
Diz que está muito louca pra beijar
E me beija com a boca de paixão

Toda noite ela diz pra eu não me afastar
Meia-noite ela jura eterno amor
E me aperta pra eu quase sufocar
E me morde com a boca de pavor

Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã

Todo dia ela diz que é pra eu me cuidar
E essas coisas que diz toda mulher
Diz que está me esperando pro jantar
E me beija com a boca de café

Todo dia eu só penso em poder parar
Meio-dia eu só penso em dizer não
Depois penso na vida pra levar
E me calo com a boca de feijão

Seis da tarde como era de se esperar
Ela pega e me espera no portão
Diz que está muito louca pra beijar
E me beija com a boca de paixão

Toda noite ela diz pra eu não me afastar
Meia-noite ela jura eterno amor
E me aperta pra eu quase sufocar
E me morde com a boca de pavor

Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã";;;"chico"
"7";;;"Ciranda da Bailarina";;;"Procurando bem
Todo mundo tem pereba
Marca de bexiga ou vacina
E tem piriri, tem lombriga, tem ameba
Só a bailarina que não tem

E não tem coceira
Verruga nem frieira
Nem falta de maneira
Ela não tem

Futucando bem
Todo mundo tem piolho
Ou tem cheiro de creolina
Todo mundo tem um irmão meio zarolho
Só a bailarina que não tem

Nem unha encardida
Nem dente com comida
Nem casca de ferida
Ela não tem

Não livra ninguém
Todo mundo tem remela
Quando acorda às seis da matina
Teve escarlatina
Ou tem febre amarela
Só a bailarina que não tem

Medo de subir, gente
Medo de cair, gente
Medo de vertigem
Quem não tem

Confessando bem
Todo mundo faz pecado
Logo assim que a missa termina
Todo mundo tem um primeiro namorado
Só a bailarina que não tem

Sujo atrás da orelha
Bigode de groselha
Calcinha um pouco velha
Ela não tem

O padre também pode até ficar vermelho
Se o vento levanta a batina
Reparando bem, todo mundo tem pentelho
Só a bailarina que não tem

Sala sem mobília
Goteira na vasilha
Problema na família
Quem não tem

Procurando bem
Todo mundo tem";;;"chico"
"8";;;"Mulheres de Atenas";;;"Mirem-se no exemplo
Daquelas mulheres de Atenas
Vivem pros seus maridos
Orgulho e raça de Atenas

Quando amadas, se perfumam
Se banham com leite, se arrumam
Suas melenas
Quando fustigadas não choram
Se ajoelham, pedem imploram
Mais duras penas; cadenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Sofrem pros seus maridos
Poder e força de Atenas

Quando eles embarcam soldados
Elas tecem longos bordados
Mil quarentenas
E quando eles voltam, sedentos
Querem arrancar, violentos
Carícias plenas, obscenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Despem-se pros maridos
Bravos guerreiros de Atenas

Quando eles se entopem de vinho
Costumam buscar um carinho
De outras falenas
Mas no fim da noite, aos pedaços
Quase sempre voltam pros braços
De suas pequenas, Helenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Geram pros seus maridos
Os novos filhos de Atenas

Elas não têm gosto ou vontade
Nem defeito, nem qualidade
Têm medo apenas
Não tem sonhos, só tem presságios
O seu homem, mares, naufrágios
Lindas sirenas, morenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Temem por seus maridos
Heróis e amantes de Atenas

As jovens viúvas marcadas
E as gestantes abandonadas
Não fazem cenas
Vestem-se de negro, se encolhem
Se conformam e se recolhem
Às suas novenas, serenas

Mirem-se no exemplo
Daquelas mulheres de Atenas
Secam por seus maridos
Orgulho e raça de Atenas";;;"chico"
"9";;;"O Que Será (À Flor da Pele) (part. Milton Nascimento)";;;"O que será que me dá
Que me bole por dentro, será que me dá
Que brota à flor da pele, será que me dá
E que me sobe às faces e me faz corar
E que me salta aos olhos a me atraiçoar
E que me aperta o peito e me faz confessar
O que não tem mais jeito de dissimular
E que nem é direito ninguém recusar
E que me faz mendigo, me faz suplicar
O que não tem medida, nem nunca terá
O que não tem remédio, nem nunca terá
O que não tem receita

O que será que será
Que dá dentro da gente e que não devia
Que desacata a gente, que é revelia
Que é feito uma aguardente que não sacia
Que é feito estar doente de uma folia
Que nem dez mandamentos vão conciliar
Nem todos os unguentos vão aliviar
Nem todos os quebrantos, toda alquimia
E nem todos os santos, será que será
O que não tem descanso, nem nunca terá
O que não tem cansaço, nem nunca terá
O que não tem limite

O que será que me dá
Que me queima por dentro, será que me dá
Que me perturba o sono, será que me dá
Que todos os tremores me vêm agitar
Que todos os ardores me vêm atiçar
Que todos os suores me vêm encharcar
Que todos os meus nervos estão a rogar
Que todos os meus órgãos estão a clamar
E uma aflição medonha me faz implorar
O que não tem vergonha, nem nunca terá
O que não tem governo, nem nunca terá
O que não tem juízo";;;"chico"
"10";;;"Geni e o Zepelim";;;"De tudo que é nego torto
Do mangue e do cais do porto
Ela já foi namorada
O seu corpo é dos errantes
Dos cegos, dos retirantes
É de quem não tem mais nada

Dá-se assim desde menina
Na garagem, na cantina
Atrás do tanque, no mato
É a rainha dos detentos
Das loucas, dos lazarentos
Dos moleques do internato

E também vai amiúde
Com os velhinhos sem saúde
E as viúvas sem porvir
Ela é um poço de bondade
E é por isso que a cidade
Vive sempre a repetir

Joga pedra na Geni!
Joga pedra na Geni!
Ela é feita pra apanhar!
Ela é boa de cuspir!
Ela dá pra qualquer um!
Maldita Geni!

Um dia surgiu, brilhante
Entre as nuvens, flutuante
Um enorme zepelim
Pairou sobre os edifícios
Abriu dois mil orifícios
Com dois mil canhões assim

A cidade apavorada
Se quedou paralisada
Pronta pra virar geleia
Mas do zepelim gigante
Desceu o seu comandante
Dizendo: Mudei de ideia!

Quando vi nesta cidade
Tanto horror e iniquidade
Resolvi tudo explodir
Mas posso evitar o drama
Se aquela formosa dama
Esta noite me servir

Essa dama era Geni!
Mas não pode ser Geni!
Ela é feita pra apanhar
Ela é boa de cuspir
Ela dá pra qualquer um
Maldita Geni!

Mas de fato, logo ela
Tão coitada e tão singela
Cativara o forasteiro
O guerreiro tão vistoso
Tão temido e poderoso
Era dela, prisioneiro

Acontece que a donzela
(E isso era segredo dela)
Também tinha seus caprichos
E ao deitar com homem tão nobre
Tão cheirando a brilho e a cobre
Preferia amar com os bichos

Ao ouvir tal heresia
A cidade em romaria
Foi beijar a sua mão
O prefeito de joelhos
O bispo de olhos vermelhos
E o banqueiro com um milhão

Vai com ele, vai, Geni!
Vai com ele, vai, Geni!
Você pode nos salvar
Você vai nos redimir
Você dá pra qualquer um
Bendita Geni!

Foram tantos os pedidos
Tão sinceros, tão sentidos
Que ela dominou seu asco
Nessa noite lancinante
Entregou-se a tal amante
Como quem dá-se ao carrasco

Ele fez tanta sujeira
Lambuzou-se a noite inteira
Até ficar saciado
E nem bem amanhecia
Partiu numa nuvem fria
Com seu zepelim prateado

Num suspiro aliviado
Ela se virou de lado
E tentou até sorrir
Mas logo raiou o dia
E a cidade em cantoria
Não deixou ela dormir

Joga pedra na Geni!
Joga bosta na Geni!
Ela é feita pra apanhar!
Ela é boa de cuspir!
Ela dá pra qualquer um!
Maldita Geni!

Joga pedra na Geni!
Joga bosta na Geni!
Ela é feita pra apanhar!
Ela é boa de cuspir!
Ela dá pra qualquer um!
Maldita Geni!";;;"chico"
